Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,Woningdichtheid
Groningen,2019,1211400.0,1143800.0,339531.0,618.0
Gulpen-Wittem,2019,75700.0,75700.0,26554.0,93.0
Haaksbergen,2019,130200.0,130200.0,40046.0,99.0
Haarlem,2019,567600.0,565000.0,226259.0,2593.0
Haarlemmermeer,2019,1797600.0,1376000.0,207854.0,322.0
Halderberge,2019,172800.0,152500.0,49721.0,179.0
Hardenberg,2019,364400.0,331900.0,92010.0,78.0
Harderwijk,2019,258600.0,209500.0,61491.0,500.0
Hardinxveld-Giessendam,2019,119800.0,65700.0,23428.0,433.0
Harlingen,2019,126100.0,118900.0,24116.0,306.0
Hattem,2019,106000.0,56100.0,19610.0,229.0
Heemskerk,2019,131800.0,114700.0,53460.0,640.0
Heemstede,2019,91300.0,91300.0,48869.0,1372.0
Heerde,2019,120800.0,83600.0,31229.0,100.0
Heerenveen,2019,392600.0,317600.0,80212.0,124.0
Heerhugowaard,2019,278400.0,278400.0,71067.0,613.0
Heerlen,2019,482000.0,411900.0,144422.0,1020.0
Heeze-Leende,2019,110100.0,73400.0,28944.0,66.0
Heiloo,2019,91800.0,74800.0,38574.0,565.0
Hellendoorn,2019,204500.0,204500.0,56715.0,107.0
Hellevoetsluis,2019,171300.0,161600.0,54705.0,436.0
Helmond,2019,507600.0,507200.0,130127.0,758.0
Hendrik-Ido-Ambacht,2019,109500.0,85800.0,37516.0,1151.0
Hengelo,2019,665100.0,605800.0,125433.0,631.0
Het Hogeland,2019,630000.0,626100.0,84819.0,47.0
Heumen,2019,96800.0,71700.0,27430.0,180.0
Heusden,2019,307000.0,261100.0,71104.0,238.0
Hillegom,2019,86500.0,86500.0,31019.0,759.0
Hilvarenbeek,2019,85400.0,79200.0,26928.0,69.0
Hilversum,2019,375600.0,345400.0,145527.0,928.0
Hoeksche Waard,2019,513600.0,435500.0,126490.0,140.0
Hof van Twente,2019,210500.0,209800.0,58439.0,71.0
Hollands Kroon,2019,,,76088.0,58.0
Hoogeveen,2019,392400.0,309200.0,86636.0,197.0
Hoorn,2019,250000.0,245800.0,99290.0,1607.0
Horst aan de Maas,2019,485700.0,439300.0,72034.0,94.0
Houten,2019,,,60136.0,369.0
Huizen,2019,146800.0,135200.0,64691.0,1194.0
Hulst,2019,206600.0,206600.0,46926.0,67.0
IJsselstein,2019,108200.0,105400.0,44153.0,682.0
Kaag en Braassem,2019,215500.0,154000.0,40004.0,182.0
Kampen,2019,338200.0,312000.0,72862.0,155.0
Kapelle,2019,,,17747.0,144.0
Katwijk,2019,252200.0,249600.0,81977.0,1080.0
Kerkrade,2019,250100.0,247000.0,79327.0,1081.0
Koggenland,2019,188600.0,144400.0,34261.0,117.0
Krimpen aan den IJssel,2019,84700.0,84700.0,40177.0,1630.0
Krimpenerwaard,2019,250100.0,250100.0,81996.0,160.0
Laarbeek,2019,206300.0,206300.0,37151.0,171.0
Landerd,2019,113400.0,86200.0,26371.0,90.0
Landgraaf,2019,130600.0,127900.0,63658.0,738.0
Landsmeer,2019,40700.0,40600.0,18268.0,215.0
Langedijk,2019,111100.0,111100.0,39402.0,484.0
Lansingerland,2019,784100.0,763200.0,78949.0,446.0
Laren,2019,90000.0,55200.0,27218.0,425.0
Leeuwarden,2019,668900.0,617100.0,184707.0,258.0
Leiden,2019,493000.0,440000.0,156450.0,2697.0
Leiderdorp,2019,113300.0,85900.0,37384.0,1047.0
Leidschendam-Voorburg,2019,302400.0,235200.0,113356.0,1130.0
Lelystad,2019,576600.0,431200.0,102839.0,143.0
Leudal,2019,265500.0,220400.0,64674.0,97.0
Leusden,2019,140700.0,113700.0,44146.0,220.0
Lingewaard,2019,307300.0,304600.0,71573.0,319.0
Lisse,2019,84600.0,84100.0,31798.0,651.0
Lochem,2019,244900.0,235200.0,62565.0,70.0
Loon op Zand,2019,109700.0,90700.0,38229.0,207.0
Lopik,2019,89100.0,89100.0,21798.0,75.0
Losser,2019,121100.0,104400.0,38922.0,99.0
Maasdriel,2019,251400.0,204800.0,41954.0,150.0
Maasgouw,2019,,,43848.0,234.0
Maassluis,2019,84600.0,84600.0,43427.0,1785.0
Maastricht,2019,,,190216.0,1105.0
Medemblik,2019,390600.0,356800.0,68513.0,156.0
Meerssen,2019,93000.0,70800.0,35389.0,319.0
Meierijstad,2019,688800.0,612900.0,129754.0,185.0
Meppel,2019,243600.0,204300.0,50033.0,282.0
Middelburg,2019,243700.0,222100.0,67793.0,486.0
Midden-Delfland,2019,,,25059.0,167.0
Midden-Drenthe,2019,314700.0,243500.0,57407.0,42.0
Midden-Groningen,2019,658800.0,588800.0,104861.0,100.0
Mill en Sint Hubert,2019,61100.0,61100.0,19388.0,87.0
Moerdijk,2019,,,58550.0,103.0
Molenlanden,2019,283100.0,253400.0,62500.0,94.0
Montferland,2019,186800.0,173500.0,59175.0,149.0
Montfoort,2019,59200.0,59200.0,20603.0,153.0
Mook en Middelaar,2019,33400.0,33400.0,14886.0,206.0
Neder-Betuwe,2019,273100.0,187900.0,34962.0,146.0
Nederweert,2019,97600.0,97600.0,30200.0,74.0
Nieuwegein,2019,333400.0,254900.0,79010.0,1221.0
Nieuwkoop,2019,163100.0,163100.0,41711.0,146.0
Nijkerk,2019,257600.0,226400.0,60653.0,247.0
