Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,co2_gasgebruik,co2_elek,co2_gebouwde_omg
Wijchen,2017,250800,206100,66425,89492,76178,104608
Wijdemeren,2017,108400,108400,46168,43824,33988,70603
Wijk bij Duurstede,2017,93000,93000,37972,30177,29716,54414
Winterswijk,2017,154500,154500,51229,62343,53863,87305
Woensdrecht,2017,201900,153900,40488,,60306,75324
Woerden,2017,450900,291200,77955,,93263,145217
Wormerland,2017,141200,102400,24567,38368,46990,34516
Woudenberg,2017,78500,63400,20246,18495,20481,34015
Zaanstad,2017,856600,817600,224668,399042,295985,380821
Zaltbommel,2017,614000,565800,45170,346921,145479,87521
Zandvoort,2017,68100,68100,34975,32767,25695,58409
Zeewolde,2017,211300,180500,27493,33165,81751,75519
Zeist,2017,340500,287000,112256,120526,106697,209687
Zevenaar,2017,342800,295900,73001,,99533,
Zoetermeer,2017,507800,452700,174059,154430,203352,311794
Zoeterwoude,2017,,,12589,,33687,
Zuidplas,2017,520400,431400,61234,267377,117533,100983
Zundert,2017,127900,127900,42540,,47722,63229
Zutphen,2017,231600,231600,74443,84766,91846,131072
Zwartewaterland,2017,195600,195600,34592,70707,86480,56764
Zwijndrecht,2017,294200,267400,70629,136689,81791,114564
Zwolle,2017,734400,640200,182221,220987,269795,389709
Aa en Hunze,2018,,,51826,,37319,82624
Aalsmeer,2018,225500,225500,48595,,93254,
Aalten,2018,126100,126100,44728,46504,42857,64967
Achtkarspelen,2018,158800,158800,47924,64752,51192,67063
Alblasserdam,2018,145500,131300,26358,49725,56032,51905
Albrandswaard,2018,112400,107300,36262,33682,33758,62509
Alkmaar,2018,555000,551600,161950,,215233,292582
Almelo,2018,469800,419900,117225,147790,194350,185784
Almere,2018,780600,654500,223491,121357,299558,396015
Alphen aan den Rijn,2018,456100,423200,157417,157783,152290,263970
Alphen-Chaam,2018,65800,65800,20075,23413,19485,28879
Altena,2018,404200,316000,89322,,100772,
Ameland,2018,35100,35100,7434,14482,10702,23645
Amersfoort,2018,732800,560600,212066,204156,228174,405449
