Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,co2_gasgebruik,co2_elek,co2_gebouwde_omg
Zaanstad,2018,,,219174,,297935,
Zaltbommel,2018,629600,582100,44386,357485,145468,82853
Zandvoort,2018,66000,66000,34264,31906,24420,56269
Zeewolde,2018,209000,178300,27646,33906,77408,69397
Zeist,2018,330400,277700,108161,117025,100704,200744
Zevenaar,2018,340300,294000,71879,150889,94039,114469
Zoetermeer,2018,524000,470100,167458,153081,221951,299112
Zoeterwoude,2018,,,12248,,35988,
Zuidplas,2018,502500,415000,61681,259647,108765,98296
Zundert,2018,130000,130000,41983,56475,44990,60844
Zutphen,2018,234600,234600,71919,82619,96760,124586
Zwartewaterland,2018,189100,189100,34395,70067,80584,54254
Zwijndrecht,2018,294800,268300,66334,134556,79957,108413
Zwolle,2018,718900,625800,177964,217291,259502,377754
Aa en Hunze,2019,155400,129700,48714.0,53361,32239,72923
Aalsmeer,2019,209500,209500,46440.0,,81780,
Aalten,2019,120000,120000,43254.0,45676,37430,61432
Achtkarspelen,2019,150800,150800,45473.0,62611,45667,62634
Alblasserdam,2019,126300,112100,24825.0,44829,42740,47037
Albrandswaard,2019,107700,102600,33935.0,33655,30918,59375
Alkmaar,2019,487100,483700,151739.0,,164111,272254
Almelo,2019,433900,384200,106956.0,141244,165012,168907
Almere,2019,736200,610700,215018.0,118707,256819,370032
Alphen aan den Rijn,2019,437100,404400,150812.0,159877,131052,246011
Alphen-Chaam,2019,65100,65100,19105.0,24933,17166,26949
Altena,2019,381500,293700,84176.0,92513,85357,119933
Ameland,2019,31700,31700,7011.0,14100,9348,22128
Amersfoort,2019,688000,516600,199687.0,202061,185832,364872
Amstelveen,2019,370500,331200,132170.0,139113,118033,226685
Amsterdam,2019,4246500,3960900,1053199.0,1331265,1703729,2644789
Apeldoorn,2019,1082800,810700,249700.0,340538,298979,473841
Arnhem,2019,861900,678600,217956.0,238517,242837,434498
Assen,2019,308500,263600,100496.0,111330,83908,178696
Asten,2019,242700,193700,27374.0,121214,44885,45098
Baarle-Nassau,2019,60100,60100,12109.0,20190,27984,20114
Baarn,2019,137400,100900,43030.0,45656,26712,67666
Barendrecht,2019,,,60229.0,55561,71979,110710
Barneveld,2019,439800,305900,83582.0,111184,114851,164554
Beek,2019,123800,84400,28518.0,,30417,
Beekdaelen,2019,179500,153100,68366.0,,44306,
Beemster,2019,126700,75000,15806.0,,21516,22713
Beesel,2019,85500,65500,22135.0,28055,24175,31822
Berg en Dal,2019,175200,175200,57865.0,,40465,
Bergeijk,2019,103200,103200,33095.0,37036,34536,52281
Bergen (L.),2019,116100,115800,23242.0,52627,27734,35016
Bergen (NH.),2019,140900,140900,59149.0,62907,37018,89266
Bergen op Zoom,2019,924200,857200,96443.0,523236,267127,167929
Berkelland,2019,290900,290900,74844.0,123030,90721,110637
Bernheze,2019,206500,143000,50744.0,50494,47219,71210
Best,2019,210100,151400,45898.0,49242,73328,91144
Beuningen,2019,206600,132100,39993.0,50839,39485,58886
Beverwijk,2019,201000,178100,57663.0,,50527,120475
Bladel,2019,134800,113700,32803.0,41900,44557,54826
Blaricum,2019,65500,47300,26788.0,24074,15017,36334
Bloemendaal,2019,106600,105400,48768.0,46001,36238,74916
Bodegraven-Reeuwijk,2019,276000,142700,50614.0,54575,55859,
Boekel,2019,64800,64800,17423.0,33876,20713,24768
Borger-Odoorn,2019,127600,125800,50394.0,56098,31499,69781
Borne,2019,106100,70500,33762.0,30584,22822,47861
Borsele,2019,,,32862.0,,180525,59678
Boxmeer,2019,276400,204600,47407.0,83295,76956,75486
Boxtel,2019,235200,154500,50290.0,59526,64227,
Breda,2019,997200,759000,262842.0,280739,285066,488173
Brielle,2019,171300,167000,25866.0,110286,30707,40004
Bronckhorst,2019,280000,280000,67131.0,141106,62553,92468
Brummen,2019,386100,383100,35314.0,282962,63643,52969
Brunssum,2019,111000,110400,48249.0,,36056,
Bunnik,2019,119100,78700,23423.0,28412,25369,44568
Bunschoten,2019,130400,130200,30750.0,59381,47827,52098
Buren,2019,139000,131700,45345.0,42694,36355,63621
Capelle aan den IJssel,2019,206600,194500,84586.0,61886,70666,136971
Castricum,2019,138600,114200,56593.0,53163,31725,78642
Coevorden,2019,291300,248700,61958.0,,94704,103380
Cranendonck,2019,502900,471300,36656.0,55327,393258,
Cuijk,2019,235200,184400,39372.0,66211,84712,62349
Culemborg,2019,126300,96800,37397.0,35726,42019,70723
Dalfsen,2019,156000,153500,46842.0,52645,42280,64945
Dantumadiel,2019,71100,68500,30654.0,,16357,
De Bilt,2019,243100,186300,77059.0,85411,55437,120659
De Fryske Marren,2019,423400,335000,83409.0,,102301,
De Ronde Venen,2019,277600,209600,67453.0,79498,58695,104018
De Wolden,2019,195300,137900,43610.0,45987,52414,59909
Delft,2019,497300,444000,128350.0,186652,190601,263766
Den Haag,2019,1801100,1684200,730899.0,688972,649067,1313867
Den Helder,2019,279000,278900,85275.0,,109954,187907
Deurne,2019,207300,174500,54954.0,72697,55708,82120
Deventer,2019,529600,427500,139864.0,168028,163273,239276
Diemen,2019,152400,110400,37532.0,29572,52810,72376
Dinkelland,2019,159100,148500,46748.0,57217,42526,69992
Doesburg,2019,48900,48900,17083.0,16698,19894,24750
Doetinchem,2019,330200,295600,86652.0,125911,113118,154709
Dongen,2019,261400,260300,40364.0,155884,83325,58649
Dordrecht,2019,627500,522500,160579.0,175494,209259,290828
Drechterland,2019,106100,105900,31024.0,44835,31848,40771
Drimmelen,2019,200900,169900,43567.0,91622,41932,60178
Dronten,2019,268200,240700,57357.0,65180,76540,100564
Druten,2019,114900,103500,29088.0,36273,28608,42999
Duiven,2019,133400,95900,32897.0,,39632,
Echt-Susteren,2019,244200,166600,57127.0,,49240,
Edam-Volendam,2019,154400,147300,59189.0,,54508,
Ede,2019,661800,498200,167012.0,187021,185411,302328
Eemnes,2019,96000,36600,14454.0,,9792,21496
Eemsdelta,2019,,,82427.0,,789281,119756
Eersel,2019,135500,96200,33392.0,36230,31955,50448
Eijsden-Margraten,2019,,,46639.0,,42370,66326
Eindhoven,2019,1350200,1192300,338459.0,409342,511751,698892
Elburg,2019,125300,94400,33918.0,39203,30103,54157
Emmen,2019,725600,691300,182476.0,,196312,284109
Enkhuizen,2019,108200,108200,26996.0,45278,46389,46266
Enschede,2019,692500,654100,237480.0,247484,253242,407863
Epe,2019,226100,172200,58407.0,74017,57940,88835
Ermelo,2019,195600,172300,40313.0,84912,54444,76957
Etten-Leur,2019,386900,341100,64726.0,184064,122408,107540
Geertruidenberg,2019,211500,155600,31964.0,32797,101332,52001
Geldrop-Mierlo,2019,204400,156400,63701.0,68669,58529,93427
Gemert-Bakel,2019,161600,161600,49861.0,60583,55396,
Gennep,2019,126800,119200,28600.0,35019,55934,50163
Gilze en Rijen,2019,171200,128400,39350.0,45760,52963,71283
Goeree-Overflakkee,2019,321700,291000,73100.0,99220,79362,135801
Goes,2019,237300,182100,55059.0,80739,63421,110635
Goirle,2019,86700,78200,37762.0,34782,27974,53327
Gooise Meren,2019,371200,225500,104296.0,107548,68346,161146
Gorinchem,2019,304000,238100,47331.0,126026,72388,87451
Gouda,2019,274300,274000,92997.0,136798,91325,159781
Grave,2019,49200,49200,19872.0,19217,13553,30333
Groningen,2019,1211400,1143800,339531.0,,339703,656597
Gulpen-Wittem,2019,75700,75700,26554.0,30315,20432,40393
Haaksbergen,2019,130200,130200,40046.0,43022,50355,58484
Haarlem,2019,567600,565000,226259.0,245554,211131,414059
Haarlemmermeer,2019,1797600,1376000,207854.0,375374,732231,903249
Halderberge,2019,172800,152500,49721.0,62099,52801,76182
Hardenberg,2019,364400,331900,92010.0,108517,130527,
Harderwijk,2019,258600,209500,61491.0,91837,69932,122008
Hardinxveld-Giessendam,2019,119800,65700,23428.0,24295,21519,34233
Harlingen,2019,126100,118900,24116.0,,26797,41602
Hattem,2019,106000,56100,19610.0,,18624,
Heemskerk,2019,131800,114700,53460.0,52738,38557,73926
Heemstede,2019,91300,91300,48869.0,,24427,68171
Heerde,2019,120800,83600,31229.0,37375,26835,
Heerenveen,2019,392600,317600,80212.0,,114622,
Heerhugowaard,2019,278400,278400,71067.0,124895,79520,114938
Heerlen,2019,482000,411900,144422.0,171143,165053,257091
Heeze-Leende,2019,110100,73400,28944.0,28523,23616,43167
Heiloo,2019,91800,74800,38574.0,35574,24327,56818
Hellendoorn,2019,204500,204500,56715.0,78142,76600,84892
Hellevoetsluis,2019,171300,161600,54705.0,,50549,78094
Helmond,2019,507600,507200,130127.0,193226,206252,218739
Hendrik-Ido-Ambacht,2019,109500,85800,37516.0,,28047,54408
Hengelo,2019,665100,605800,125433.0,400428,134356,216069
Het Hogeland,2019,630000,626100,84819.0,177029,343333,
Heumen,2019,96800,71700,27430.0,25131,18107,38748
Heusden,2019,307000,261100,71104.0,145948,73434,96697
Hillegom,2019,86500,86500,31019.0,35712,34417,51232
Hilvarenbeek,2019,85400,79200,26928.0,27109,25772,42380
Hilversum,2019,375600,345400,145527.0,158059,118280,261599
Hoeksche Waard,2019,513600,435500,126490.0,148248,113871,184945
Hof van Twente,2019,210500,209800,58439.0,78689,60711,86212
Hollands Kroon,2019,,,76088.0,,572322,
Hoogeveen,2019,392400,309200,86636.0,157777,104460,147985
Hoorn,2019,250000,245800,99290.0,102820,89361,164783
Horst aan de Maas,2019,485700,439300,72034.0,256612,111585,122395
Houten,2019,,,60136.0,62432,55543,
Huizen,2019,146800,135200,64691.0,64872,40584,90893
Hulst,2019,206600,206600,46926.0,50807,36632,68984
IJsselstein,2019,108200,105400,44153.0,42543,34695,63655
Kaag en Braassem,2019,215500,154000,40004.0,73113,39565,57333
Kampen,2019,338200,312000,72862.0,162055,80894,119262
Kapelle,2019,,,17747.0,,21880,28729
Katwijk,2019,252200,249600,81977.0,115706,91823,137666
Kerkrade,2019,250100,247000,79327.0,116865,95649,119284
Koggenland,2019,188600,144400,34261.0,71836,36434,47504
Krimpen aan den IJssel,2019,84700,84700,40177.0,,29532,56866
Krimpenerwaard,2019,250100,250100,81996.0,81279,64522,118043
Laarbeek,2019,206300,206300,37151.0,106299,54892,53653
Landerd,2019,113400,86200,26371.0,28012,22718,40905
Landgraaf,2019,130600,127900,63658.0,62226,42093,90007
Landsmeer,2019,40700,40600,18268.0,,10239,24516
Langedijk,2019,111100,111100,39402.0,47508,33605,55633
Lansingerland,2019,784100,763200,78949.0,,156025,136885
Laren,2019,90000,55200,27218.0,28220,17379,43098
Leeuwarden,2019,668900,617100,184707.0,279951,184236,334013
Leiden,2019,493000,440000,156450.0,149998,183674,318358
Leiderdorp,2019,113300,85900,37384.0,,28952,
Leidschendam-Voorburg,2019,302400,235200,113356.0,109373,70399,163493
Lelystad,2019,576600,431200,102839.0,136257,133245,197097
Leudal,2019,265500,220400,64674.0,82518,66116,98189
Leusden,2019,140700,113700,44146.0,42656,34300,70425
Lingewaard,2019,307300,304600,71573.0,170968,54885,101177
Lisse,2019,84600,84100,31798.0,34037,30564,53693
Lochem,2019,244900,235200,62565.0,100445,67942,90970
Loon op Zand,2019,109700,90700,38229.0,36963,35920,66178
Lopik,2019,89100,89100,21798.0,22325,19630,31250
Losser,2019,121100,104400,38922.0,41962,30062,54722
Maasdriel,2019,251400,204800,41954.0,84880,60229,63600
Maasgouw,2019,,,43848.0,,47030,63510
Maassluis,2019,84600,84600,43427.0,37599,25766,58738
Maastricht,2019,,,190216.0,,277805,364910
Medemblik,2019,390600,356800,68513.0,200462,103209,110566
Meerssen,2019,93000,70800,35389.0,34377,21999,46342
Meierijstad,2019,688800,612900,129754.0,252498,242751,217796
Meppel,2019,243600,204300,50033.0,88091,79276,93846
Middelburg,2019,243700,222100,67793.0,120622,67142,113836
Midden-Delfland,2019,,,25059.0,,70421,38033
Midden-Drenthe,2019,314700,243500,57407.0,,64662,
Midden-Groningen,2019,658800,588800,104861.0,272113,246987,153870
Mill en Sint Hubert,2019,61100,61100,19388.0,24723,18166,28127
Moerdijk,2019,,,58550.0,,366079,142782
Molenlanden,2019,283100,253400,62500.0,73863,67822,88456
Montferland,2019,186800,173500,59175.0,76339,56462,88325
Montfoort,2019,59200,59200,20603.0,20649,17417,31051
Mook en Middelaar,2019,33400,33400,14886.0,15030,9072,19275
Neder-Betuwe,2019,273100,187900,34962.0,62317,51569,61919
Nederweert,2019,97600,97600,30200.0,31946,35099,43136
Nieuwegein,2019,333400,254900,79010.0,54459,105622,
Nieuwkoop,2019,163100,163100,41711.0,83438,42536,62743
Nijkerk,2019,257600,226400,60653.0,89304,90498,110302
Nijmegen,2019,827200,785300,233532.0,286354,303908,474360
Nissewaard,2019,314800,314800,114482.0,,140229,169205
Noardeast-Fryslân,2019,230100,229200,73788.0,87629,70070,106772
Noord-Beveland,2019,61200,55300,13663.0,16628,17857,26784
Noordenveld,2019,265600,265600,57155.0,60340,160299,85097
Noordoostpolder,2019,,,69580.0,,119393,126016
Noordwijk,2019,,,66084.0,,74651,133127
Nuenen c.a.,2019,104100,96800,41168.0,39141,29285,55591
Nunspeet,2019,204300,151200,41579.0,68805,53420,78338
Oegstgeest,2019,85400,69100,36323.0,30420,21868,51358
Oirschot,2019,187400,112100,32347.0,,34766,
Oisterwijk,2019,170300,130000,55167.0,56304,44893,85483
Oldambt,2019,450900,415200,71617.0,134843,222344,107693
Oldebroek,2019,152300,100000,35983.0,42636,33398,53601
Oldenzaal,2019,136800,125500,49109.0,63978,29629,74999
Olst-Wijhe,2019,102600,102600,28814.0,32565,34096,50937
Ommen,2019,249900,236400,29623.0,38542,146354,50611
Oost Gelre,2019,177900,177900,48177.0,61857,67531,81320
Oosterhout,2019,,,82526.0,,137001,174098
Ooststellingwerf,2019,143100,140700,43788.0,52615,43530,62398
Oostzaan,2019,57200,33900,14549.0,15176,12134,22295
Opmeer,2019,53900,53900,17230.0,20638,17941,26926
Opsterland,2019,189800,143100,49809.0,52698,39613,72502
Oss,2019,560400,518000,144664.0,203426,210731,222848
Oude IJsselstreek,2019,211500,205300,65066.0,,69481,
Ouder-Amstel,2019,185100,92600,20782.0,28278,44489,66672
Oudewater,2019,40500,40500,15750.0,15369,12164,22798
Overbetuwe,2019,382400,244100,72460.0,92738,80032,116114
Papendrecht,2019,,,42539.0,39232,40213,63589
Peel en Maas,2019,525000,466800,73652.0,301535,94952,111032
Pekela,2019,86600,82500,23370.0,41388,23405,29283
Pijnacker-Nootdorp,2019,412700,412500,64149.0,257565,112566,100714
Purmerend,2019,198300,187800,92753.0,32686,76095,135683
Putten,2019,161300,120300,37903.0,45032,42792,59596
Raalte,2019,203100,203000,58728.0,,63847,
Reimerswaal,2019,538100,458300,30205.0,,105142,59443
Renkum,2019,,,57039.0,,181796,95152
Renswoude,2019,35000,25800,7722.0,8463,7945,11812
Reusel-De Mierden,2019,61500,61500,22418.0,23042,20523,30643
Rheden,2019,186200,169100,76059.0,79538,47959,
Rhenen,2019,93000,93000,30085.0,37326,21301,44392
Ridderkerk,2019,277000,188700,62181.0,78336,67522,111145
Rijssen-Holten,2019,243600,171300,57004.0,66479,58726,92156
Rijswijk,2019,230400,199700,78449.0,85364,74287,147425
Roerdalen,2019,115200,95600,38183.0,,24872,52494
Roermond,2019,652800,605800,90950.0,328194,211491,179412
Roosendaal,2019,450500,369900,118309.0,165161,137531,210453
Rotterdam,2019,12146900,11764500,787135.0,7614165,2535621,2012523
Rozendaal,2019,7500,7500,3811.0,,1702,
Rucphen,2019,129400,98400,41399.0,42579,32221,56122
Schagen,2019,276900,276900,71041.0,95247,97433,125413
Scherpenzeel,2019,51200,51200,14636.0,18046,24589,20492
Schiedam,2019,305800,240400,100679.0,102859,88030,164946
Schiermonnikoog,2019,10200,10200,2197.0,4283,2408,6105
Schouwen-Duiveland,2019,253700,248700,58483.0,96456,56183,106429
's-Hertogenbosch,2019,854900,685900,226721.0,254146,269908,435645
Simpelveld,2019,37200,37200,19780.0,17722,8678,25124
Sint Anthonis,2019,71200,71200,20363.0,22414,23717,28748
Sint-Michielsgestel,2019,113100,112700,50115.0,44549,28423,66289
Sittard-Geleen,2019,,,158361.0,,,277909
Sliedrecht,2019,126500,95300,32503.0,40191,33359,54033
Sluis,2019,162100,154300,46111.0,55645,44048,88532
Smallingerland,2019,313800,248600,86389.0,103520,90070,138156
Soest,2019,197100,183800,75555.0,81696,58955,123895
Someren,2019,230900,207900,32261.0,112511,52730,45896
Son en Breugel,2019,167500,141600,29627.0,58308,60409,62566
Stadskanaal,2019,132400,127200,59054.0,,37814,
Staphorst,2019,171900,102200,25416.0,37209,37017,41916
Stede Broec,2019,86600,86600,31043.0,,29921,
Steenbergen,2019,634200,599600,37521.0,454731,74295,56269
Steenwijkerland,2019,237000,208500,73116.0,76491,62913,109140
Stein,2019,,,43511.0,42960,,66580
Stichtse Vecht,2019,449900,288600,98577.0,98768,71300,148639
Súdwest-Fryslân,2019,568600,490700,141885.0,206675,142621,226988
Terneuzen,2019,,,86986.0,,313436,153459
Terschelling,2019,41800,41800,8921.0,14689,9220,22756
Texel,2019,,,23746.0,,27669,59157
Teylingen,2019,168500,146000,50849.0,59433,56689,83017
Tholen,2019,180300,177100,36080.0,65256,34343,54482
Tiel,2019,298500,241100,59883.0,104769,85072,125836
Tilburg,2019,1146300,1022300,287203.0,344609,417068,526891
Tubbergen,2019,111800,111800,36885.0,40220,31461,52661
Twenterand,2019,159500,150000,51728.0,62704,54927,75633
Tynaarlo,2019,169400,137700,60243.0,62434,36388,88064
Tytsjerksteradiel,2019,223800,215100,51269.0,81901,82303,71653
Uden,2019,257500,232100,66469.0,86390,96600,118609
Uitgeest,2019,74500,49000,18654.0,16224,15364,29373
Uithoorn,2019,,,41702.0,,59294,68537
Urk,2019,86400,86400,24401.0,27323,41553,50242
Utrecht,2019,1527300,1244500,395855.0,374130,493554,820202
Utrechtse Heuvelrug,2019,311000,206700,86560.0,88821,60740,142270
Vaals,2019,40600,40600,19425.0,19920,11378,30031
Valkenburg aan de Geul,2019,93200,78700,31700.0,37603,23601,59019
Valkenswaard,2019,144600,135800,52365.0,55240,45704,78696
Veendam,2019,,,49444.0,,96118,73046
Veenendaal,2019,253400,241800,85348.0,95276,95697,149008
Veere,2019,117100,114000,37539.0,46650,32447,71337
Veldhoven,2019,271700,249000,70747.0,80143,132105,111492
Velsen,2019,,,96643.0,,1212439,172415
Venlo,2019,875000,741200,162696.0,352012,279628,331219
Venray,2019,371900,328500,71148.0,135646,118995,124053
Vijfheerenlanden,2019,573700,371000,78754.0,177271,116389,124921
Vlaardingen,2019,263300,239500,97196.0,115336,74073,158334
Vlieland,2019,10200,10200,1948.0,4366,3305,7439
Vlissingen,2019,560100,549700,62820.0,,104657,118716
Voerendaal,2019,57200,43500,23263.0,20266,11662,29534
Voorschoten,2019,70900,70900,37768.0,34306,22103,53953
Voorst,2019,176800,125700,42028.0,48887,34541,67186
Vught,2019,170900,137300,52067.0,55842,37974,86784
Waadhoeke,2019,364800,333500,74926.0,203856,70131,102802
Waalre,2019,83900,64100,31549.0,28194,15880,41542
Waalwijk,2019,346600,278500,74672.0,108333,131875,158601
Waddinxveen,2019,269600,208100,37110.0,110730,68445,67970
Wageningen,2019,151300,151300,51451.0,59693,59449,104288
Wassenaar,2019,153100,147300,55732.0,60527,36836,93937
Waterland,2019,87300,87300,26615.0,25074,16201,36750
Weert,2019,341600,271300,81001.0,98426,113398,138938
Weesp,2019,101600,101600,26381.0,39757,42968,46988
West Betuwe,2019,702000,465500,81445.0,210458,108632,
West Maas en Waal,2019,119400,116800,32623.0,33153,25021,48944
Westerkwartier,2019,452000,369700,107833.0,124332,138772,156023
Westerveld,2019,121700,106900,35401.0,42014,26376,59895
Westervoort,2019,,,20836.0,,10816,
Westerwolde,2019,,,51133.0,,41170,71694
Westland,2019,2469800,2459900,143604.0,1787390,534826,
Weststellingwerf,2019,160700,130700,44181.0,49462,39854,65224
Westvoorne,2019,166500,166500,27119.0,124886,25730,38201
Wierden,2019,156700,122900,37954.0,45658,32994,54817
Wijchen,2019,240700,196700,62094.0,89580,66167,96266
Wijdemeren,2019,100100,100100,42710.0,42241,26732,62875
Wijk bij Duurstede,2019,85200,85200,34553.0,29876,23403,47919
Winterswijk,2019,146600,146600,48019.0,61518,45560,79337
Woensdrecht,2019,177100,129600,36877.0,,47066,62964
Woerden,2019,427800,271400,72707.0,140961,71657,127132
Wormerland,2019,135300,97300,23167.0,39164,40900,31646
Woudenberg,2019,74600,59900,18722.0,19428,15801,29395
Zaanstad,2019,805300,767200,207588.0,390082,254043,339219
Zaltbommel,2019,642700,595400,42464.0,367159,152670,78590
Zandvoort,2019,62300,62300,32713.0,31631,20998,52453
Zeewolde,2019,203900,173300,26553.0,36979,69129,64461
Zeist,2019,309900,257500,102241.0,115249,81906,181477
Zevenaar,2019,321200,275200,67640.0,147372,78767,
Zoetermeer,2019,499900,446300,158314.0,150604,200407,270445
Zoeterwoude,2019,,,11548.0,,28640,
Zuidplas,2019,466400,379300,58950.0,250897,81805,91471
Zundert,2019,120300,120300,39228.0,54109,37531,56860
Zutphen,2019,218800,218800,68081.0,79976,83566,115744
Zwartewaterland,2019,175200,175200,32339.0,65839,70946,49677
Zwijndrecht,2019,274400,248100,62223.0,132543,63759,98034
Zwolle,2019,673500,580800,168327.0,212014,218747,341625
