Jaar,Gemeenten,Woningdichtheid
2018,Dongen,379.0
2019,Dongen,384.0
2017,Dongeradeel,66.0
2018,Dongeradeel,66.0
2017,Dordrecht,698.0
2018,Dordrecht,701.0
2019,Dordrecht,700.0
2017,Drechterland,138.0
2018,Drechterland,139.0
2019,Drechterland,141.0
2017,Drimmelen,122.0
2018,Drimmelen,123.0
2019,Drimmelen,124.0
2017,Dronten,50.0
2018,Dronten,51.0
2019,Dronten,51.0
2017,Druten,207.0
2018,Druten,212.0
2019,Druten,214.0
2017,Duiven,314.0
2018,Duiven,315.0
2019,Duiven,316.0
2017,Echt-Susteren,141.0
2018,Echt-Susteren,141.0
2019,Echt-Susteren,141.0
2017,Edam-Volendam,273.0
2018,Edam-Volendam,275.0
2019,Edam-Volendam,277.0
2017,Ede,156.0
2018,Ede,151.0
2019,Ede,153.0
2017,Eemnes,119.0
2018,Eemnes,123.0
2019,Eemnes,126.0
2017,Eemsmond,39.0
2018,Eemsmond,39.0
2017,Eersel,97.0
2018,Eersel,98.0
2019,Eersel,100.0
2017,Eijsden-Margraten,142.0
2018,Eijsden-Margraten,144.0
2019,Eijsden-Margraten,145.0
2017,Eindhoven,1230.0
2018,Eindhoven,1249.0
2019,Eindhoven,1270.0
2017,Elburg,144.0
2018,Elburg,145.0
2019,Elburg,145.0
2017,Emmen,146.0
2018,Emmen,146.0
2019,Emmen,147.0
2017,Enkhuizen,685.0
2018,Enkhuizen,687.0
2019,Enkhuizen,690.0
2017,Enschede,529.0
2018,Enschede,523.0
2019,Enschede,530.0
2017,Epe,91.0
2018,Epe,91.0
2019,Epe,92.0
2017,Ermelo,127.0
2018,Ermelo,128.0
2019,Ermelo,128.0
2017,Etten-Leur,335.0
2018,Etten-Leur,339.0
2019,Etten-Leur,343.0
2017,Ferwerderadiel,39.0
2018,Ferwerderadiel,38.0
2017,Franekeradeel,93.0
2017,De Fryske Marren,65.0
2018,De Fryske Marren,66.0
2019,De Fryske Marren,66.0
2017,Geertruidenberg,360.0
2018,Geertruidenberg,361.0
2019,Geertruidenberg,362.0
2017,Geldermalsen,108.0
2018,Geldermalsen,110.0
2017,Geldrop-Mierlo,560.0
2018,Geldrop-Mierlo,562.0
2019,Geldrop-Mierlo,569.0
2017,Gemert-Bakel,103.0
